TIME,DIFFERENTIAL_TIME,PACKNUM,LOSTNUM,DATA_LEN,PPW,SP,IF_TRUNCATED
65132081,65132066,145850,0,4,1996,998,0
65132081,65132071,145850,0,4,1863,996,0
65132081,65132076,145850,0,4,1876,996,0
65132081,65132081,145850,0,4,1784,996,0
65132101,65132086,145851,0,4,1700,996,0
65132101,65132091,145851,0,4,1594,995,0
65132101,65132096,145851,0,4,1514,995,0
65132101,65132101,145851,0,4,1461,994,0
65132121,65132106,145852,0,4,1488,994,0
65132121,65132111,145852,0,4,1355,993,0
65132121,65132116,145852,0,4,1263,992,0
65132121,65132121,145852,0,4,1090,990,0
65132141,65132126,145853,0,4,1156,991,0
65132141,65132131,145853,0,4,997,989,0
65132141,65132136,145853,0,4,905,988,0
65132141,65132141,145853,0,4,693,986,0
65132161,65132146,145854,0,4,600,985,0
65132161,65132151,145854,0,4,547,985,0
65132161,65132156,145854,0,4,374,983,0
65132161,65132161,145854,0,4,295,982,0
65132180,65132166,145855,0,4,202,981,0
65132180,65132171,145855,0,4,136,981,0
65132180,65132175,145855,0,4,110,980,0
65132180,65132180,145855,0,4,17,980,0
65132200,65132185,145856,0,4,57,980,0
65132200,65132190,145856,0,4,-49,979,0
65132200,65132195,145856,0,4,-49,979,0
65132200,65132200,145856,0,4,70,980,0
65132220,65132205,145857,0,4,57,980,0
65132220,65132210,145857,0,4,70,980,0
65132220,65132215,145857,0,4,4,979,0
65132220,65132220,145857,0,4,136,981,0
65132239,65132225,145858,0,4,57,980,0
65132239,65132230,145858,0,4,30,980,0
65132239,65132234,145858,0,4,57,980,0
65132239,65132239,145858,0,4,-22,979,0
65132264,65132244,145859,0,5,-22,979,0
65132264,65132249,145859,0,5,-35,979,0
65132264,65132254,145859,0,5,-35,979,0
65132264,65132259,145859,0,5,-49,979,0
65132264,65132264,145859,0,5,-35,979,0
65132279,65132269,145860,0,3,-49,979,0
65132279,65132274,145860,0,3,-75,979,0
65132279,65132279,145860,0,3,-115,978,0
65132300,65132284,145861,0,4,-51,977,0
65132300,65132289,145861,0,4,-51,977,0
65132300,65132295,145861,0,4,-104,977,0
65132300,65132300,145861,0,4,-157,976,0
65132324,65132305,145862,0,5,-223,976,0
65132324,65132310,145862,0,5,-289,975,0
65132324,65132314,145862,0,5,-289,975,0
65132324,65132319,145862,0,5,-382,974,0
65132324,65132324,145862,0,5,-462,973,0
65132344,65132329,145863,0,4,-515,973,0
65132344,65132334,145863,0,4,-608,972,0
65132344,65132339,145863,0,4,-634,971,0
65132344,65132344,145863,0,4,-714,971,0
65132364,65132349,145864,0,4,-780,970,0
65132364,65132354,145864,0,4,-780,970,0
65132364,65132359,145864,0,4,-873,969,0
65132364,65132364,145864,0,4,-899,969,0
65132384,65132369,145865,0,4,-992,968,0
65132384,65132374,145865,0,4,-1084,967,0
65132384,65132379,145865,0,4,-1032,967,0
65132384,65132384,145865,0,4,-1138,966,0
65132403,65132389,145866,0,4,-1190,966,0
65132403,65132394,145866,0,4,-1164,966,0
65132403,65132398,145866,0,4,-1310,965,0
65132403,65132403,145866,0,4,-1363,964,0
65132423,65132408,145867,0,4,-1376,964,0
65132423,65132413,145867,0,4,-1403,964,0
65132423,65132418,145867,0,4,-1456,963,0
65132423,65132423,145867,0,4,-1376,964,0
65132443,65132428,145868,0,4,-1495,963,0
65132443,65132433,145868,0,4,-1522,963,0
65132443,65132438,145868,0,4,-1562,962,0
65132443,65132443,145868,0,4,-1548,962,0
65132462,65132448,145869,0,4,-1575,962,0
65132462,65132453,145869,0,4,-1575,962,0
65132462,65132457,145869,0,4,-1614,962,0
65132462,65132462,145869,0,4,-1628,962,0
65132483,65132467,145870,0,4,-1707,961,0
65132483,65132472,145870,0,4,-1601,962,0
65132483,65132478,145870,0,4,-1681,961,0
65132483,65132483,145870,0,4,-1529,961,0
65132503,65132488,145871,0,4,-1596,960,0
65132503,65132493,145871,0,4,-1543,961,0
65132503,65132498,145871,0,4,-1742,959,0
65132503,65132503,145871,0,4,-1728,959,0
65132523,65132508,145872,0,4,-1742,959,0
65132523,65132513,145872,0,4,-1874,958,0
65132523,65132518,145872,0,4,-1755,959,0
65132523,65132523,145872,0,4,-1834,958,0
65132542,65132528,145873,0,4,-1821,958,0
65132542,65132533,145873,0,4,-1874,958,0
65132542,65132537,145873,0,4,-1887,958,0
65132542,65132542,145873,0,4,-1847,958,0
65132562,65132547,145874,0,4,-2006,956,0
65132562,65132552,145874,0,4,-1980,957,0
65132562,65132557,145874,0,4,-1993,957,0
65132562,65132562,145874,0,4,-1993,957,0
65132582,65132567,145875,0,4,-2046,956,0
65132582,65132572,145875,0,4,-2073,956,0
65132582,65132577,145875,0,4,-2006,956,0
65132582,65132582,145875,0,4,-2126,955,0
65132601,65132587,145876,0,4,-2020,956,0
65132601,65132592,145876,0,4,-2139,955,0
65132601,65132596,145876,0,4,-2139,955,0
65132601,65132601,145876,0,4,-2086,956,0
65132621,65132606,145877,0,4,-1887,958,0
65132621,65132611,145877,0,4,-1834,958,0
65132621,65132616,145877,0,4,-1622,960,0
65132621,65132621,145877,0,4,-1450,962,0
65132641,65132626,145878,0,4,-1211,964,0
65132641,65132631,145878,0,4,-920,967,0
65132641,65132636,145878,0,4,-602,970,0
65132641,65132641,145878,0,4,-125,975,0
65132661,65132646,145879,0,4,192,978,0
65132661,65132651,145879,0,4,537,982,0
65132661,65132656,145879,0,4,868,985,0
65132661,65132661,145879,0,4,1067,987,0
65132681,65132666,145880,0,4,1345,990,0
65132681,65132671,145880,0,4,1531,992,0
65132681,65132676,145880,0,4,1756,994,0
65132681,65132681,145880,0,4,1997,997,0
65132701,65132686,145881,0,4,1997,997,0
65132701,65132691,145881,0,4,2010,998,0
65132701,65132696,145881,0,4,2130,999,0
65132701,65132701,145881,0,4,2156,999,0
65132721,65132706,145882,0,4,2169,999,0
65132721,65132711,145882,0,4,2249,1000,0
65132721,65132716,145882,0,4,2223,1000,0
65132721,65132721,145882,0,4,2169,999,0
65132740,65132726,145883,0,4,2262,1000,0
65132740,65132731,145883,0,4,2169,999,0
65132740,65132735,145883,0,4,2169,999,0
65132740,65132740,145883,0,4,2130,999,0
65132760,65132745,145884,0,4,2037,998,0
65132760,65132750,145884,0,4,2024,998,0
65132760,65132755,145884,0,4,2024,998,0
65132760,65132760,145884,0,4,1918,997,0
65132780,65132765,145885,0,4,1931,997,0
65132780,65132770,145885,0,4,1918,997,0
65132780,65132775,145885,0,4,1825,996,0
65132780,65132780,145885,0,4,1785,995,0
65132800,65132785,145886,0,4,1758,995,0
65132800,65132790,145886,0,4,1653,994,0
65132800,65132795,145886,0,4,1626,994,0
65132800,65132800,145886,0,4,1653,994,0
65132819,65132805,145887,0,4,1560,993,0
65132819,65132810,145887,0,4,1467,992,0
65132819,65132814,145887,0,4,1388,991,0
65132819,65132819,145887,0,4,1388,991,0
65132844,65132824,145888,0,5,1268,990,0
65132844,65132829,145888,0,5,1056,988,0
65132844,65132834,145888,0,5,977,987,0
65132844,65132839,145888,0,5,844,986,0
65132844,65132844,145888,0,5,699,984,0
65132864,65132849,145889,0,4,486,982,0
65132864,65132854,145889,0,4,407,982,0
65132864,65132859,145889,0,4,314,981,0
65132864,65132864,145889,0,4,208,980,0
65132880,65132869,145890,0,3,76,978,0
65132880,65132875,145890,0,3,23,978,0
65132880,65132880,145890,0,3,17,978,0
65132904,65132885,145891,0,5,-75,978,0
65132904,65132890,145891,0,5,-88,977,0
65132904,65132894,145891,0,5,-181,976,0
65132904,65132899,145891,0,5,-102,977,0
65132904,65132904,145891,0,5,-141,977,0
65132924,65132909,145892,0,4,-62,978,0
65132924,65132914,145892,0,4,-75,978,0
65132924,65132919,145892,0,4,-75,978,0
65132924,65132924,145892,0,4,-75,978,0
65132944,65132929,145893,0,4,-62,978,0
65132944,65132934,145893,0,4,-9,978,0
65132944,65132939,145893,0,4,-62,978,0
65132944,65132944,145893,0,4,17,978,0
65132963,65132949,145894,0,4,70,979,0
65132963,65132954,145894,0,4,-88,977,0
65132963,65132958,145894,0,4,-115,977,0
65132963,65132963,145894,0,4,17,978,0
65132983,65132968,145895,0,4,-115,977,0
65132983,65132973,145895,0,4,-181,976,0
65132983,65132978,145895,0,4,-194,976,0
65132983,65132983,145895,0,4,-221,976,0
65133003,65132988,145896,0,4,-194,976,0
65133003,65132993,145896,0,4,-300,975,0
65133003,65132998,145896,0,4,-247,976,0
65133003,65133003,145896,0,4,-380,974,0
65133023,65133008,145897,0,4,-380,974,0
65133023,65133013,145897,0,4,-419,974,0
65133023,65133018,145897,0,4,-592,972,0
65133023,65133023,145897,0,4,-711,971,0
65133042,65133028,145898,0,4,-685,971,0
65133042,65133033,145898,0,4,-777,971,0
65133042,65133037,145898,0,4,-844,970,0
65133042,65133042,145898,0,4,-883,969,0
65133062,65133047,145899,0,4,-910,969,0
65133062,65133052,145899,0,4,-936,969,0
65133062,65133057,145899,0,4,-1095,967,0
65133062,65133062,145899,0,4,-1122,967,0
65133083,65133067,145900,0,4,-1122,967,0
65133083,65133072,145900,0,4,-1149,967,0
65133083,65133078,145900,0,4,-1074,966,0
65133083,65133083,145900,0,4,-1034,966,0
65133102,65133088,145901,0,4,-1193,964,0
65133102,65133093,145901,0,4,-1260,964,0
65133102,65133097,145901,0,4,-1313,963,0
65133102,65133102,145901,0,4,-1273,964,0
65133122,65133107,145902,0,4,-1419,962,0
65133122,65133112,145902,0,4,-1392,962,0
65133122,65133117,145902,0,4,-1458,962,0
65133122,65133122,145902,0,4,-1604,960,0
65133142,65133127,145903,0,4,-1617,960,0
65133142,65133132,145903,0,4,-1604,960,0
65133142,65133137,145903,0,4,-1591,960,0
65133142,65133142,145903,0,4,-1763,959,0
65133162,65133147,145904,0,4,-1803,958,0
65133162,65133152,145904,0,4,-1710,959,0
65133162,65133157,145904,0,4,-1776,959,0
65133162,65133162,145904,0,4,-1816,958,0
65133181,65133167,145905,0,4,-1829,958,0
65133181,65133172,145905,0,4,-1856,958,0
65133181,65133176,145905,0,4,-1816,958,0
65133181,65133181,145905,0,4,-1803,958,0
65133201,65133186,145906,0,4,-1896,957,0
65133201,65133191,145906,0,4,-1763,959,0
65133201,65133196,145906,0,4,-1869,958,0
65133201,65133201,145906,0,4,-1869,958,0
65133221,65133206,145907,0,4,-1856,958,0
65133221,65133211,145907,0,4,-1869,958,0
65133221,65133216,145907,0,4,-1869,958,0
65133221,65133221,145907,0,4,-2002,956,0
65133240,65133226,145908,0,4,-1962,957,0
65133240,65133231,145908,0,4,-1975,957,0
65133240,65133235,145908,0,4,-2041,956,0
65133240,65133240,145908,0,4,-2002,956,0
65133260,65133245,145909,0,4,-2041,956,0
65133260,65133250,145909,0,4,-2095,955,0
65133260,65133255,145909,0,4,-2068,956,0
65133260,65133260,145909,0,4,-2121,955,0
65133281,65133265,145910,0,4,-2134,955,0
65133281,65133270,145910,0,4,-2081,956,0
65133281,65133276,145910,0,4,-2045,954,0
65133281,65133281,145910,0,4,-2112,954,0
65133301,65133286,145911,0,4,-2032,954,0
65133301,65133291,145911,0,4,-2085,954,0
65133301,65133296,145911,0,4,-2125,954,0
65133301,65133301,145911,0,4,-2151,953,0
65133320,65133306,145912,0,4,-2244,952,0
65133320,65133311,145912,0,4,-2297,952,0
65133320,65133315,145912,0,4,-2297,952,0
65133320,65133320,145912,0,4,-2257,952,0
65133340,65133325,145913,0,4,-2165,953,0
65133340,65133330,145913,0,4,-2191,953,0
65133340,65133335,145913,0,4,-2085,954,0
65133340,65133340,145913,0,4,-1847,956,0
65133365,65133345,145914,0,5,-1661,958,0
65133365,65133350,145914,0,5,-1369,961,0
65133365,65133355,145914,0,5,-1025,965,0
65133365,65133360,145914,0,5,-707,968,0
65133365,65133365,145914,0,5,-349,971,0
65133384,65133370,145915,0,4,154,976,0
65133384,65133375,145915,0,4,485,980,0
65133384,65133379,145915,0,4,816,983,0
65133384,65133384,145915,0,4,1108,986,0
65133404,65133389,145916,0,4,1333,988,0
65133404,65133394,145916,0,4,1598,991,0
65133404,65133399,145916,0,4,1850,993,0
65133404,65133404,145916,0,4,1956,994,0
65133424,65133409,145917,0,4,2141,996,0
65133424,65133414,145917,0,4,2247,997,0
65133424,65133419,145917,0,4,2327,998,0
65133424,65133424,145917,0,4,2512,1000,0
65133444,65133429,145918,0,4,2433,999,0
65133444,65133434,145918,0,4,2433,999,0
65133444,65133439,145918,0,4,2459,999,0
65133444,65133444,145918,0,4,2539,1000,0
65133463,65133449,145919,0,4,2446,999,0
65133463,65133454,145919,0,4,2486,1000,0
65133463,65133458,145919,0,4,2327,998,0
65133463,65133463,145919,0,4,2419,999,0
65133484,65133468,145920,0,4,2353,998,0
65133484,65133473,145920,0,4,2189,998,0
65133484,65133479,145920,0,4,2203,998,0
65133484,65133484,145920,0,4,2189,998,0
65133504,65133489,145921,0,4,2057,997,0
65133504,65133494,145921,0,4,2083,997,0
65133504,65133499,145921,0,4,2083,997,0
65133504,65133504,145921,0,4,2057,997,0
65133523,65133509,145922,0,4,1938,996,0
65133523,65133514,145922,0,4,1938,996,0
65133523,65133518,145922,0,4,1898,995,0
65133523,65133523,145922,0,4,1911,995,0
65133543,65133528,145923,0,4,1765,994,0
65133543,65133533,145923,0,4,1765,994,0
65133543,65133538,145923,0,4,1739,994,0
65133543,65133543,145923,0,4,1686,993,0
65133563,65133548,145924,0,4,1659,993,0
65133563,65133553,145924,0,4,1633,993,0
65133563,65133558,145924,0,4,1500,991,0
65133563,65133563,145924,0,4,1381,990,0
65133583,65133568,145925,0,4,1301,989,0
65133583,65133573,145925,0,4,1288,989,0
65133583,65133578,145925,0,4,1036,987,0
65133583,65133583,145925,0,4,904,985,0
65133602,65133588,145926,0,4,771,984,0
65133602,65133593,145926,0,4,732,984,0
65133602,65133597,145926,0,4,692,983,0
65133602,65133602,145926,0,4,493,981,0
65133622,65133607,145927,0,4,573,982,0
65133622,65133612,145927,0,4,414,980,0
65133622,65133617,145927,0,4,334,980,0
65133622,65133622,145927,0,4,347,980,0
65133642,65133627,145928,0,4,281,979,0
65133642,65133632,145928,0,4,321,980,0
65133642,65133637,145928,0,4,321,980,0
65133642,65133642,145928,0,4,281,979,0
65133662,65133647,145929,0,4,361,980,0
65133662,65133652,145929,0,4,427,981,0
65133662,65133657,145929,0,4,361,980,0
65133662,65133662,145929,0,4,480,981,0
65133682,65133667,145930,0,4,427,981,0
65133682,65133672,145930,0,4,350,981,0
65133682,65133677,145930,0,4,324,981,0
65133682,65133682,145930,0,4,350,981,0
65133702,65133687,145931,0,4,350,981,0
65133702,65133692,145931,0,4,297,980,0
65133702,65133697,145931,0,4,231,980,0
65133702,65133702,145931,0,4,284,980,0
65133722,65133707,145932,0,4,231,980,0
65133722,65133712,145932,0,4,-7,977,0
65133722,65133717,145932,0,4,231,980,0
65133722,65133722,145932,0,4,72,978,0
65133741,65133727,145933,0,4,6,977,0
65133741,65133732,145933,0,4,19,978,0
65133741,65133736,145933,0,4,-126,976,0
65133741,65133741,145933,0,4,-113,976,0
65133761,65133746,145934,0,4,-179,976,0
65133761,65133751,145934,0,4,-205,975,0
65133761,65133756,145934,0,4,-258,975,0
65133761,65133761,145934,0,4,-470,973,0
65133781,65133766,145935,0,4,-417,973,0
65133781,65133771,145935,0,4,-590,971,0
65133781,65133776,145935,0,4,-603,971,0
65133781,65133781,145935,0,4,-749,970,0
65133801,65133786,145936,0,4,-762,970,0
65133801,65133791,145936,0,4,-788,969,0
65133801,65133796,145936,0,4,-815,969,0
65133801,65133801,145936,0,4,-908,968,0
65133820,65133806,145937,0,4,-1001,967,0
65133820,65133811,145937,0,4,-1053,967,0
65133820,65133815,145937,0,4,-1053,967,0
65133820,65133820,145937,0,4,-1133,966,0
65133840,65133825,145938,0,4,-1186,965,0
65133840,65133830,145938,0,4,-1160,966,0
65133840,65133835,145938,0,4,-1226,965,0
65133840,65133840,145938,0,4,-1305,964,0
65133860,65133845,145939,0,4,-1266,965,0
65133860,65133850,145939,0,4,-1319,964,0
65133860,65133855,145939,0,4,-1385,963,0
65133860,65133860,145939,0,4,-1517,962,0
65133880,65133865,145940,0,4,-1544,962,0
65133880,65133870,145940,0,4,-1454,961,0
65133880,65133875,145940,0,4,-1440,961,0
65133880,65133880,145940,0,4,-1480,961,0
65133900,65133885,145941,0,4,-1520,960,0
65133900,65133890,145941,0,4,-1520,960,0
65133900,65133895,145941,0,4,-1480,961,0
65133900,65133900,145941,0,4,-1493,961,0
65133920,65133905,145942,0,4,-1586,960,0
65133920,65133910,145942,0,4,-1573,960,0
65133920,65133915,145942,0,4,-1559,960,0
65133920,65133920,145942,0,4,-1639,959,0
65133940,65133925,145943,0,4,-1705,958,0
65133940,65133930,145943,0,4,-1705,958,0
65133940,65133935,145943,0,4,-1692,959,0
65133940,65133940,145943,0,4,-1705,958,0
65133959,65133945,145944,0,4,-1719,958,0
65133959,65133950,145944,0,4,-1785,958,0
65133959,65133954,145944,0,4,-1758,958,0
65133959,65133959,145944,0,4,-1851,957,0
65133984,65133964,145945,0,5,-1838,957,0
65133984,65133969,145945,0,5,-1904,956,0
65133984,65133974,145945,0,5,-1904,956,0
65133984,65133979,145945,0,5,-1917,956,0
65133984,65133984,145945,0,5,-1970,956,0
65134004,65133989,145946,0,4,-1997,956,0
65134004,65133994,145946,0,4,-2050,955,0
65134004,65133999,145946,0,4,-2063,955,0
65134004,65134004,145946,0,4,-2076,955,0
65134024,65134009,145947,0,4,-2089,955,0
65134024,65134014,145947,0,4,-2156,954,0
65134024,65134019,145947,0,4,-2235,953,0
65134024,65134024,145947,0,4,-2235,953,0
65134043,65134029,145948,0,4,-2275,953,0
65134043,65134034,145948,0,4,-2355,952,0
65134043,65134038,145948,0,4,-2394,952,0
65134043,65134043,145948,0,4,-2328,952,0
65134058,65134048,145949,0,3,-2355,952,0
65134058,65134053,145949,0,3,-2275,953,0
65134058,65134058,145949,0,3,-2116,954,0
65134084,65134064,145950,0,4,-1631,958,0
65134084,65134071,145950,0,4,-1552,959,0
65134084,65134078,145950,0,4,-1154,963,0
65134084,65134084,145950,0,4,-916,965,0
65134104,65134089,145951,0,4,-505,969,0
65134104,65134094,145951,0,4,-147,973,0
65134104,65134099,145951,0,4,183,976,0
65134104,65134104,145951,0,4,581,980,0
65134123,65134109,145952,0,4,885,983,0
65134123,65134114,145952,0,4,1084,985,0
65134123,65134118,145952,0,4,1455,989,0
65134123,65134123,145952,0,4,1707,991,0
65134143,65134128,145953,0,4,1800,992,0
65134143,65134133,145953,0,4,1946,994,0
65134143,65134138,145953,0,4,2012,994,0
65134143,65134143,145953,0,4,2065,995,0
65134163,65134148,145954,0,4,2184,996,0
65134163,65134153,145954,0,4,2356,998,0
65134163,65134158,145954,0,4,2356,998,0
65134163,65134163,145954,0,4,2330,998,0
65134182,65134168,145955,0,4,2211,996,0
65134182,65134173,145955,0,4,2211,996,0
65134182,65134177,145955,0,4,2277,997,0
65134182,65134182,145955,0,4,2370,998,0
65134202,65134187,145956,0,4,2171,996,0
65134202,65134192,145956,0,4,2290,997,0
65134202,65134197,145956,0,4,2317,997,0
65134202,65134202,145956,0,4,2224,996,0
65134222,65134207,145957,0,4,2131,996,0
65134222,65134212,145957,0,4,2144,996,0
65134222,65134217,145957,0,4,2065,995,0
65134222,65134222,145957,0,4,2052,995,0
65134241,65134227,145958,0,4,1985,994,0
65134241,65134232,145958,0,4,1999,994,0
65134241,65134236,145958,0,4,1906,993,0
65134241,65134241,145958,0,4,1866,993,0
65134261,65134246,145959,0,4,1773,992,0
65134261,65134251,145959,0,4,1866,993,0
65134261,65134256,145959,0,4,1787,992,0
65134261,65134261,145959,0,4,1707,991,0
65134282,65134266,145960,0,4,1619,992,0
65134282,65134271,145960,0,4,1606,992,0
65134282,65134277,145960,0,4,1393,990,0
65134282,65134282,145960,0,4,1380,989,0
65134302,65134287,145961,0,4,1380,989,0
65134302,65134292,145961,0,4,1221,988,0
65134302,65134297,145961,0,4,1089,987,0
65134302,65134302,145961,0,4,930,985,0
65134321,65134307,145962,0,4,850,984,0
65134321,65134312,145962,0,4,665,982,0
65134321,65134316,145962,0,4,598,982,0
65134321,65134321,145962,0,4,545,981,0
65134341,65134326,145963,0,4,519,981,0
65134341,65134331,145963,0,4,320,979,0
65134341,65134336,145963,0,4,254,978,0
65134341,65134341,145963,0,4,240,978,0
65134361,65134346,145964,0,4,148,977,0
65134361,65134351,145964,0,4,148,977,0
65134361,65134356,145964,0,4,174,977,0
65134361,65134361,145964,0,4,307,979,0
65134380,65134366,145965,0,4,161,977,0
65134380,65134371,145965,0,4,214,978,0
65134380,65134375,145965,0,4,135,977,0
65134380,65134380,145965,0,4,240,978,0
65134400,65134385,145966,0,4,294,979,0
65134400,65134390,145966,0,4,227,978,0
65134400,65134395,145966,0,4,187,978,0
65134400,65134400,145966,0,4,161,977,0
65134420,65134405,145967,0,4,227,978,0
65134420,65134410,145967,0,4,187,978,0
65134420,65134415,145967,0,4,201,978,0
65134420,65134420,145967,0,4,161,977,0
65134440,65134425,145968,0,4,95,977,0
65134440,65134430,145968,0,4,135,977,0
65134440,65134435,145968,0,4,68,976,0
65134440,65134440,145968,0,4,81,976,0
65134459,65134445,145969,0,4,-63,975,0
65134459,65134450,145969,0,4,15,976,0
65134459,65134454,145969,0,4,-90,975,0
65134459,65134459,145969,0,4,-169,974,0
65134480,65134464,145970,0,4,-74,974,0
65134480,65134469,145970,0,4,-206,972,0
65134480,65134475,145970,0,4,-233,972,0
65134480,65134480,145970,0,4,-299,971,0
65134500,65134485,145971,0,4,-379,970,0
65134500,65134490,145971,0,4,-432,970,0
65134500,65134495,145971,0,4,-498,969,0
65134500,65134500,145971,0,4,-617,968,0
65134520,65134505,145972,0,4,-630,968,0
65134520,65134510,145972,0,4,-697,967,0
65134520,65134515,145972,0,4,-697,967,0
65134520,65134520,145972,0,4,-816,966,0
65134544,65134525,145973,0,5,-816,966,0
65134544,65134530,145973,0,5,-869,966,0
65134544,65134534,145973,0,5,-962,965,0
65134544,65134539,145973,0,5,-1015,964,0
65134544,65134544,145973,0,5,-1015,964,0
65134564,65134549,145974,0,4,-1041,964,0
65134564,65134554,145974,0,4,-1107,963,0
65134564,65134559,145974,0,4,-1107,963,0
65134564,65134564,145974,0,4,-1160,963,0
65134584,65134569,145975,0,4,-1160,963,0
65134584,65134574,145975,0,4,-1200,962,0
65134584,65134579,145975,0,4,-1214,962,0
65134584,65134584,145975,0,4,-1333,961,0
65134603,65134589,145976,0,4,-1412,960,0
65134603,65134594,145976,0,4,-1373,961,0
65134603,65134598,145976,0,4,-1425,960,0
65134603,65134603,145976,0,4,-1359,961,0
65134623,65134608,145977,0,4,-1545,959,0
65134623,65134613,145977,0,4,-1505,959,0
65134623,65134618,145977,0,4,-1518,959,0
65134623,65134623,145977,0,4,-1545,959,0
65134643,65134628,145978,0,4,-1571,959,0
65134643,65134633,145978,0,4,-1611,958,0
65134643,65134638,145978,0,4,-1651,958,0
65134643,65134643,145978,0,4,-1585,958,0
65134664,65134648,145979,0,4,-1624,958,0
65134664,65134653,145979,0,4,-1717,957,0
65134664,65134659,145979,0,4,-1770,957,0
65134664,65134664,145979,0,4,-1644,957,0
65134683,65134669,145980,0,4,-1644,957,0
65134683,65134674,145980,0,4,-1710,956,0
65134683,65134678,145980,0,4,-1670,956,0
65134683,65134683,145980,0,4,-1617,957,0
65134703,65134688,145981,0,4,-1644,957,0
65134703,65134693,145981,0,4,-1737,956,0
65134703,65134698,145981,0,4,-1789,955,0
65134703,65134703,145981,0,4,-1776,955,0
65134723,65134708,145982,0,4,-1882,954,0
65134723,65134713,145982,0,4,-1829,955,0
65134723,65134718,145982,0,4,-1856,954,0
65134723,65134723,145982,0,4,-2002,953,0
65134743,65134728,145983,0,4,-2081,952,0
65134743,65134733,145983,0,4,-2108,952,0
65134743,65134738,145983,0,4,-2121,952,0
65134743,65134743,145983,0,4,-2121,952,0
65134762,65134748,145984,0,4,-2121,952,0
65134762,65134753,145984,0,4,-2161,951,0
65134762,65134757,145984,0,4,-2068,952,0
65134762,65134762,145984,0,4,-2147,952,0
65134782,65134767,145985,0,4,-2041,953,0
65134782,65134772,145985,0,4,-1896,954,0
65134782,65134777,145985,0,4,-1763,955,0
65134782,65134782,145985,0,4,-1564,957,0
65134802,65134787,145986,0,4,-1312,960,0
65134802,65134792,145986,0,4,-1008,963,0
65134802,65134797,145986,0,4,-783,965,0
65134802,65134802,145986,0,4,-464,968,0
65134821,65134807,145987,0,4,-212,971,0
65134821,65134812,145987,0,4,171,975,0
65134821,65134816,145987,0,4,529,978,0
65134821,65134821,145987,0,4,767,981,0
65134841,65134826,145988,0,4,966,983,0
65134841,65134831,145988,0,4,1152,985,0
65134841,65134836,145988,0,4,1350,987,0
65134841,65134841,145988,0,4,1522,988,0
65134862,65134846,145989,0,4,1615,989,0
65134862,65134851,145989,0,4,1695,990,0
65134862,65134857,145989,0,4,1748,991,0
65134862,65134862,145989,0,4,1720,991,0
65134882,65134867,145990,0,4,1787,992,0
65134882,65134872,145990,0,4,1773,992,0
65134882,65134877,145990,0,4,1800,992,0
65134882,65134882,145990,0,4,1694,991,0
65134901,65134887,145991,0,4,1747,992,0
65134901,65134892,145991,0,4,1707,991,0
65134901,65134896,145991,0,4,1720,991,0
65134901,65134901,145991,0,4,1707,991,0
65134926,65134906,145992,0,5,1680,991,0
65134926,65134911,145992,0,5,1482,989,0
65134926,65134916,145992,0,5,1535,990,0
65134926,65134921,145992,0,5,1588,990,0
65134926,65134926,145992,0,5,1561,990,0
65134941,65134931,145993,0,3,1601,990,0
65134941,65134936,145993,0,3,1535,990,0
65134941,65134941,145993,0,3,1376,988,0
65134960,65134946,145994,0,4,1415,988,0
65134960,65134951,145994,0,4,1402,988,0
65134960,65134955,145994,0,4,1283,987,0
65134960,65134960,145994,0,4,1349,988,0
65134980,65134965,145995,0,4,1204,986,0
65134980,65134970,145995,0,4,1204,986,0
65134980,65134975,145995,0,4,1177,986,0
65134980,65134980,145995,0,4,991,984,0
65135000,65134985,145996,0,4,965,984,0
65135000,65134990,145996,0,4,925,983,0
65135000,65134995,145996,0,4,700,981,0
65135000,65135000,145996,0,4,567,980,0
65135025,65135005,145997,0,5,448,979,0
65135025,65135010,145997,0,5,223,976,0
65135025,65135015,145997,0,5,223,976,0
65135025,65135020,145997,0,5,183,976,0
65135025,65135025,145997,0,5,37,975,0
65135044,65135030,145998,0,4,-81,973,0
65135044,65135035,145998,0,4,-81,973,0
65135044,65135039,145998,0,4,-68,974,0
65135044,65135044,145998,0,4,-160,973,0
65135060,65135049,145999,0,3,-147,973,0
65135060,65135055,145999,0,3,-94,973,0
65135060,65135060,145999,0,3,-295,972,0
65135085,65135065,146000,0,5,-348,972,0
65135085,65135070,146000,0,5,-189,973,0
65135085,65135075,146000,0,5,-189,973,0
65135085,65135080,146000,0,5,-202,973,0
65135085,65135085,146000,0,5,-202,973,0
65135104,65135090,146001,0,4,-242,973,0
65135104,65135095,146001,0,4,-189,973,0
65135104,65135099,146001,0,4,-281,972,0
65135104,65135104,146001,0,4,-202,973,0
65135124,65135109,146002,0,4,-295,972,0
65135124,65135114,146002,0,4,-321,972,0
65135124,65135119,146002,0,4,-281,972,0
65135124,65135124,146002,0,4,-334,972,0
65135144,65135129,146003,0,4,-295,972,0
65135144,65135134,146003,0,4,-348,972,0
65135144,65135139,146003,0,4,-281,972,0
65135144,65135144,146003,0,4,-480,970,0
65135164,65135149,146004,0,4,-440,971,0
65135164,65135154,146004,0,4,-467,970,0
65135164,65135159,146004,0,4,-573,969,0
65135164,65135164,146004,0,4,-533,970,0
65135183,65135169,146005,0,4,-586,969,0
65135183,65135174,146005,0,4,-692,968,0
65135183,65135178,146005,0,4,-732,968,0
